,Title,FullPath,NumPages,DocumentInfo,ProcessingTime,ProcessingTimeOCR,ProcessingTimeOCR(ms)
43,C - Atrium II - Initiation Report.pdf,../../38. Rosicrucian/C - Atrium II - Initiation Report.pdf,1.0,"{'format': 'PDF 1.6', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0.6)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20150321095005Z', 'modDate': 'D:20150321143052Z', 'trapped': '', 'encryption': None}",2021-06-02 13:04:43,,0 days 00:00:02.824952
44,C - Atrium II - Initiation.pdf,../../38. Rosicrucian/C - Atrium II - Initiation.pdf,16.0,"{'format': 'PDF 1.7', 'title': 'rf008-1.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608115521Z', 'modDate': ""D:20200608144651+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:04:46,,0 days 00:00:42.156798
45,C - Atrium II - No. 01.pdf,../../38. Rosicrucian/C - Atrium II - No. 01.pdf,16.0,"{'format': 'PDF 1.7', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20200323145811Z', 'modDate': ""D:20200608144652+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:05:28,,0 days 00:00:45.367688
46,C - Atrium II - No. 02.pdf,../../38. Rosicrucian/C - Atrium II - No. 02.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf008-3.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608120426Z', 'modDate': ""D:20200608144652+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:06:14,,0 days 00:00:33.050802
47,C - Atrium II - No. 03.pdf,../../38. Rosicrucian/C - Atrium II - No. 03.pdf,16.0,"{'format': 'PDF 1.7', 'title': 'rf008-4.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608120940Z', 'modDate': ""D:20200608144653+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:06:47,,0 days 00:00:39.565083
48,C - Atrium II - No. 04.pdf,../../38. Rosicrucian/C - Atrium II - No. 04.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf009-1.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20011209093410Z', 'modDate': ""D:20200608144653+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:07:26,,0 days 00:00:32.669993
49,C - Atrium II - No. 05.pdf,../../38. Rosicrucian/C - Atrium II - No. 05.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf009-2.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20011207112729Z', 'modDate': ""D:20200608144653+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:07:59,,0 days 00:00:32.843266
50,C - Atrium II - No. 06.pdf,../../38. Rosicrucian/C - Atrium II - No. 06.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf009-3.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20011207112803Z', 'modDate': ""D:20200608144654+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:08:32,,0 days 00:00:32.258199
51,C - Atrium II - No. 07.pdf,../../38. Rosicrucian/C - Atrium II - No. 07.pdf,12.0,"{'format': 'PDF 1.7', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20141222144936Z', 'modDate': ""D:20200608144655+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:09:04,,0 days 00:00:34.989642
52,C - Atrium II - No. 08.pdf,../../38. Rosicrucian/C - Atrium II - No. 08.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf010-1.PMD', 'author': 'Administrator', 'subject': '', 'keywords': '', 'creator': 'PageMaker 7.0', 'producer': 'Acrobat Distiller 5.0.5 (Windows)', 'creationDate': 'D:20020529114041Z', 'modDate': ""D:20200608144655+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:09:39,,0 days 00:00:32.117583
